Ramen Hazuki(Ota)	大田区雪谷大塚町11-8
Miyamoto(Ota)	大田区西蒲田7-8-1
Ramen Ren(Ota)	大田区西蒲田8-22-3インペリアル蒲田1F
Isobe(Ota)	大田区多摩川1-20-14
Ramen Hiiki(Ota)	大田区蒲田5-2-5
Ramen Miyaro(Ota)	大田区西蒲田7-63-9パブセブン1F
MAHOROBA(Ota)	大田区蒲田5-34-4
Voyage(Ota)	大田区蒲田4-37-7
Arakiya(Ota)	大田区西蒲田7-63-1
Ramen Jun Kamatashop(Ota)	大田区蒲田5-20-7シャトー蒲田13102号
Ramen Hige(Ota)	大田区大森本町2-28-5
LR	
Chūkasoba Nishino(Bunkyo)	文京区本郷3-30-7熊野ビルB101
Kissui Hananoren(Bunkyo)	文京区大塚3-5-4茗荷谷ハイツ1F
Nemuru(Bunkyo)	文京区本郷4-3-2
Daishi(Bunkyo)	文京区湯島2-1-2佐藤ビル1F
Youjinbou Hongo(Bunkyo)	文京区向丘1-20-6ファミール本郷1F
Aun(Bunkyo)	文京区湯島3-25-11
Noodle Sounds(Bunkyo)	文京区本郷3-5-5野々村ビル1F
Mensho Tokyo(Bunkyo)	文京区春日1-15-9
Yume Wo Katare(Bunkyo)	文京区白山5-36-14
Kamunabi(Bunkyo)	文京区千駄木4-21-3ハセベ千駄木ビル1F
Ramen Shogawa Bunka(Bunkyo)	文京区本駒込6-6-2沢谷ビル1F
Gyorai(Bunkyo)	文京区小石川1-8-6アルシオン文京小石川102
LR	
Ramen Koike(Setagaya)	世田谷区上北沢4-19-18
Nishikawa(Setagaya)	世田谷区砧2-15-10メゾン・ド・オーポン1F
Ramen Riku(Setagaya)	世田谷区桜3-8-13パレス馬事公苑101号
Mento Mirai(Setagaya)	世田谷区北沢3-25-1シャトルヒエイ1F
Hasumishinmachi(Setagaya)	世田谷区駒沢4-29-13ケー・テー駒沢1階
Seitoku Ramen(Setagaya)	世田谷区桜丘3-24-4山田ビル102
Kotetsu(Setagaya)	世田谷区北沢2-39-13田丸ビル1F左
Ramen MAIKAGURA(Setagaya)	世田谷区船橋1-38-4
Akazukin(Setagaya)	世田谷区砧8-6-27
ChukaSoba Fukumori(Setagaya)	世田谷区野沢4-9-18
LR	
Mugito Olive(Chuo)	中央区銀座6-12-12銀座ステラビル1F
Kazami(Chuo)	中央区銀座6-4-13あさぎビル1F
GinzaKagari Honten(Chuo)	中央区銀座6-4-12-1F
Menya Shichisai(Chuo)	中央区八丁堀2-13-2
Oborodzuki(Chuo)	中央区銀座6-3-5
Nanahasu(Chuo)	中央区日本橋室町1-8-7東信室町ビル1F
Ginzasa(Chuo)	中央区銀座8-15-2藤ビル1F
CrabRamen(Chuo)	中央区日本橋蛎殻町1-9-5大鷲ビル1F
Homemade NoodlesItōGinza(Chuo)	中央区銀座6-12-2東京銀座ビルディングB1
